행정동명,행정동코드,Top1,number of Top1,Top2,number of Top2,Top3,number of Top3
둔내면,4273033000,한식/백반/한정식,98,캠프/별장/펜션,30,스키장비판매,30
갑천면,4273034000,한식/백반/한정식,19,청과물소매,12,민박/하숙,10
청일면,4273035000,한식/백반/한정식,27,청과물소매,21,민박/하숙,9
공근면,4273036000,한식/백반/한정식,23,청과물소매,22,국수/만두/칼국수,5
서원면,4273037000,한식/백반/한정식,32,청과물소매,14,캠프/별장/펜션,9
강림면,4273038000,청과물소매,15,한식/백반/한정식,11,민박/하숙,5
영월읍,4275025000,한식/백반/한정식,189,커피전문점/카페/다방,77,여성미용실,72
상동읍,4275025300,한식/백반/한정식,10,수퍼마켓,8,청과물소매,4
산솔면,4275031200,한식/백반/한정식,16,청과물소매,8,수퍼마켓,6
김삿갓면,4275032500,한식/백반/한정식,20,캠프/별장/펜션,19,민박/하숙,14
북면,4275033000,청과물소매,17,한식/백반/한정식,16,횟집,5
남면,4275034000,청과물소매,25,한식/백반/한정식,19,수퍼마켓,6
한반도면,4275035500,한식/백반/한정식,20,청과물소매,11,주유소,9
주천면,4275036000,한식/백반/한정식,50,갈비/삼겹살,20,청과물소매,18
무릉도원면,4275038000,캠프/별장/펜션,44,한식/백반/한정식,31,민박/하숙,18
평창읍,4276025000,한식/백반/한정식,74,여성미용실,23,청과물소매,21
미탄면,4276031000,한식/백반/한정식,23,청과물소매,13,수퍼마켓,11
방림면,4276032000,한식/백반/한정식,25,청과물소매,19,캠프/별장/펜션,11
대화면,4276033000,한식/백반/한정식,40,청과물소매,25,부동산중개,11
봉평면,4276034000,한식/백반/한정식,118,캠프/별장/펜션,116,민박/하숙,52
용평면,4276035000,한식/백반/한정식,41,청과물소매,22,부동산중개,18
진부면,4276036000,한식/백반/한정식,126,청과물소매,32,민박/하숙,26
대관령면,4276038000,한식/백반/한정식,127,스키장비판매,40,캠프/별장/펜션,35
정선읍,4277025000,한식/백반/한정식,133,커피전문점/카페/다방,29,여성미용실,28
고한읍,4277025300,한식/백반/한정식,90,스키장비판매,30,모텔/여관/여인숙,29
사북읍,4277025600,한식/백반/한정식,98,수퍼마켓,24,커피전문점/카페/다방,24
신동읍,4277025900,한식/백반/한정식,30,청과물소매,11,수퍼마켓,10
남면,4277032000,한식/백반/한정식,37,수퍼마켓,17,청과물소매,16
북평면,4277034000,한식/백반/한정식,20,민박/하숙,13,수퍼마켓,9
임계면,4277035000,한식/백반/한정식,58,청과물소매,27,수퍼마켓,18
화암면,4277036000,한식/백반/한정식,25,청과물소매,11,민박/하숙,5
여량면,4277037000,한식/백반/한정식,26,수퍼마켓,15,민박/하숙,12
철원읍,4278025000,청과물소매,21,부동산중개,20,한식/백반/한정식,17
김화읍,4278025300,한식/백반/한정식,15,청과물소매,7,후라이드/양념치킨,6
갈말읍,4278025600,한식/백반/한정식,104,여성미용실,30,청과물소매,29
동송읍,4278025900,한식/백반/한정식,108,청과물소매,52,여성미용실,50
서면,4278031000,한식/백반/한정식,54,커피전문점/카페/다방,21,청과물소매,17
근남면,4278032000,청과물소매,17,한식/백반/한정식,10,민박/하숙,5
화천읍,4279025000,한식/백반/한정식,123,민박/하숙,36,커피전문점/카페/다방,25
간동면,4279031000,한식/백반/한정식,29,민박/하숙,15,청과물소매,12
하남면,4279032000,민박/하숙,13,한식/백반/한정식,13,청과물소매,13
